,customer_id,campaign_id,activity_type,viewers,pageviews,duration,chats,likes,date,clicks,original_price,discount_price,click_revenue,product_id
688,171,8528,live,2200,2494,312613.924,6,47,2023-06-21,193,52900,47610,9188730,1
689,171,9267,live,2202,2443,339590.866,0,31,2023-07-24,99,8371780,7134120,40155140,13
690,164,7169,live,2212,3002,486987.648,548,7474,2023-04-25,4223,2280000,1635524,400627180,18
691,171,11901,live,2223,2566,328075.702,15,128,2023-09-25,680,0,0,0,1
692,164,7821,live,2224,3555,354267.078,419,1382,2023-06-20,3857,2162000,1543320,389747520,16
693,171,10713,live,2226,2515,343905.638,25,133,2023-08-14,128,10386490,8961550,154642900,8
694,171,9443,live,2227,2567,374524.281,182,2048,2023-08-01,602,160000,133950,21838740,3
695,171,11418,live,2232,2666,425366.955,30,176,2023-09-12,298,719800,320080,22122700,5
696,171,12240,live,2234,2604,229021.818,74,334,2023-10-18,343,493360,415560,9028810,16
697,171,11421,live,2236,2741,442269.463,11,23,2023-09-12,505,67800,54920,11279350,2
698,171,11048,live,2244,2600,431458.005,9,10,2023-08-31,105,236700,90200,2297900,4
699,171,11194,live,2247,2783,464292.344,219,4213,2023-09-04,512,35800,29970,15344640,1
700,171,8636,live,2254,2543,338316.929,19,4407,2023-06-29,192,255000,229500,4970700,6
701,171,8331,live,2260,2561,351910.448,14,52,2023-06-12,273,171350,137080,9783040,3
702,171,11670,live,2267,2690,254500.609,190,129,2023-09-20,782,156700,131180,26193400,3
703,171,8780,live,2280,2572,355778.836,5,79,2023-07-04,387,468900,170820,34282170,2
704,171,11034,live,2285,2599,399879.499,6,14,2023-08-29,386,142700,128430,15234660,3
705,51,9399,live,2285,3094,718151.042,523,11763,2023-08-03,4679,3118000,2038099,272300859,35
706,171,12229,live,2294,2532,133066.616,12,30,2023-10-16,271,2199340,2075500,32578160,18
707,171,8620,live,2297,2628,371549.822,29,236,2023-06-26,404,2776800,2499200,31134970,19
708,171,12257,live,2299,2584,184311.155,5,46,2023-10-20,404,122600,101930,10303080,4
709,171,12660,live,2300,2607,146099.652,0,50,2023-10-23,80,26956640,23934640,66184700,24
710,171,11948,live,2306,2576,284311.194,23,469,2023-10-04,554,0,0,0,1
711,171,11666,live,2308,2759,294266.236,104,454,2023-09-19,787,53400,37910,14849140,2
712,171,9351,live,2316,2603,372391.62,6,4238,2023-08-01,317,290530,261510,10401940,9
713,171,10149,live,2318,2662,432858.088,195,728,2023-08-08,266,154300,138870,14111460,3
714,171,10144,live,2334,2618,356317.388,2,35,2023-08-07,388,210600,188640,17459280,4
715,171,11432,live,2334,2783,432449.464,22,24,2023-09-14,526,705400,590530,21358310,14
716,141,8739,live,2344,3075,218950.45,118,5876,2023-07-05,1746,2701000,415620,97715970,16
717,171,7897,live,2347,2634,310802.008,9,58,2023-05-31,155,223700,201330,10702350,3
718,171,9280,live,2361,2737,465230.669,65,141,2023-07-26,230,54477900,49116090,370705670,29
719,171,12674,live,2362,2823,285431.044,11,103,2023-10-26,244,54134000,48720600,491045400,26
720,171,7880,live,2363,2749,448410.727,40,670,2023-05-25,370,37457800,34234470,774083690,20
721,171,11434,live,2369,2832,439130.045,1,10,2023-09-14,265,34246000,32444310,130711920,18
722,171,11024,live,2378,2781,548553.732,109,91,2023-08-28,719,355700,292820,25451570,9
723,141,9087,live,2381,2901,161809.109,33,9061,2023-07-14,550,208800,167040,25939200,3
724,141,7624,live,2384,3195,186087.842,29,4776,2023-05-12,404,117800,101700,20615220,2
725,171,11656,live,2386,2679,213975.781,0,6,2023-09-18,114,27548130,24051810,96570830,24
726,171,8109,live,2393,2832,487636.144,52,230,2023-06-08,1234,292700,73100,32538700,3
727,171,11055,live,2398,2881,455234.894,23,37,2023-09-01,178,447200,415460,5568160,14
728,171,12239,live,2409,2744,278397.024,68,1303,2023-10-18,335,838000,754200,30893400,8
729,171,7898,live,2410,2749,386086.915,2,8,2023-05-31,323,41615000,39455220,354620510,15
730,164,7097,live,2413,3337,444090.3,473,10480,2023-04-11,3297,1800000,1300505,332149565,14
